ID,Latitude,Longitude
715898,33.880183,-118.021787
715918,33.93311,-118.091005
715920,33.938544,-118.094941
715929,33.971707,-118.123095
715930,33.971763,-118.122905
715933,33.981839,-118.130679
715938,34.002541,-118.150997
715944,34.013676,-118.166091
715947,34.015325,-118.17127
715996,34.243318,-118.42108
716007,34.341625,-118.526002
716010,34.368149,-118.55885
716016,34.431273,-118.588555
716017,34.43153,-118.588374
716023,34.571045,-118.689102
716028,34.055167,-118.216535
716032,34.030891,-118.411427
716036,34.034311,-118.384884
716047,34.034363,-118.345701
716050,34.034677,-118.339444
716057,34.036953,-118.313131
716063,34.037129,-118.296691
716067,34.054801,-118.211859
716069,34.053806,-118.208214
716072,34.05411,-118.203478
716075,34.055306,-118.192689
716076,34.055573,-118.192729
716078,34.055285,-118.185874
716081,34.059959,-118.174416
716084,34.061442,-118.167268
716085,34.061918,-118.162504
716087,34.065882,-118.155495
716088,34.066326,-118.155441
716091,34.071793,-118.143409
716092,34.071251,-118.141723
716101,34.071889,-118.117349
716126,34.071934,-118.051536
716142,34.117595,-117.844142
716143,34.120911,-117.829234
716146,34.072549,-117.935381
716152,34.072202,-117.917964
716153,34.072356,-117.917965
716181,34.067443,-117.801629
716187,34.071766,-117.769758
716193,34.081731,-117.72793
716203,34.059539,-117.804678
716206,34.029065,-118.211497
716213,34.034994,-118.173285
716235,34.034891,-118.029411
716237,34.031123,-118.02136
716238,34.03138,-118.02126
716241,34.012079,-117.980022
716253,33.996291,-117.924633
716254,33.996031,-117.924675
716265,33.998463,-117.856533
716271,34.06708,-117.804144
716272,33.872586,-118.289005
716273,33.872636,-118.2812
716295,33.876997,-118.177986
716296,33.876767,-118.177981
716311,33.876731,-118.114918
716312,33.876464,-118.114961
716313,33.876234,-118.104961
716314,33.876465,-118.104925
716328,34.067067,-118.254688
716331,34.070002,-118.262279
716337,34.077518,-118.282724
716339,34.078365,-118.288977
716359,34.139643,-118.365139
716390,34.149135,-118.672472
716391,34.151032,-118.680765
716392,34.148836,-118.697394
716402,33.931618,-118.394435
716404,33.931388,-118.389223
716405,33.931349,-118.382283
716407,33.93015,-118.373771
716409,33.932384,-118.3602
716413,33.926558,-118.338643
716414,33.924911,-118.335537
716419,33.925238,-118.313092
716420,33.925579,-118.313116
716421,33.926392,-118.304528
716422,33.926754,-118.304542
716424,33.928424,-118.29444
716426,33.928915,-118.285761
716427,33.927891,-118.273645
716428,33.928261,-118.273648
716431,33.927305,-118.266557
716433,33.927289,-118.263121
716434,33.927654,-118.263124
716437,33.928838,-118.244115
716440,33.929161,-118.226832
716441,33.929479,-118.226883
716442,33.929098,-118.220055
716443,33.929386,-118.220032
716448,33.921331,-118.201425
716449,33.917731,-118.194032
716450,33.918043,-118.193865
716453,33.911105,-118.174619
716456,33.91131,-118.164179
716457,33.911652,-118.164198
716459,33.912441,-118.155588
716460,33.912739,-118.148633
716461,33.913023,-118.148672
716466,33.912952,-118.131271
716470,33.913689,-118.113948
716471,33.914009,-118.113945
716481,33.865396,-118.285083
716484,33.884861,-118.285153
716485,33.884866,-118.28555
716490,33.90698,-118.286419
716491,33.906991,-118.286756
716494,33.919393,-118.284015
716495,33.919346,-118.283589
716499,33.951161,-118.279899
716500,33.95115,-118.280258
716551,34.154235,-118.274159
716554,34.156198,-118.265345
716571,34.19999,-118.403413
716573,34.222738,-118.410536
716626,33.802703,-118.13339
716632,33.807173,-118.150983
716659,33.845809,-118.269724
716660,33.847883,-118.272889
716663,33.858551,-118.287766
716670,33.862176,-118.318174
716674,33.867122,-118.335344
716689,33.906863,-118.370302
716694,33.921751,-118.368902
716714,34.018964,-118.42366
716719,34.042214,-118.442698
716720,34.042287,-118.44249
716733,34.11048,-118.481488
716738,34.133767,-118.472292
716739,34.141958,-118.471286
716760,33.838278,-118.087885
716775,33.866067,-118.098862
716776,33.87427,-118.101893
716778,33.881753,-118.104077
716784,33.894297,-118.104669
716788,33.903565,-118.10513
716797,33.942967,-118.095825
716800,33.958124,-118.087014
716810,33.985594,-118.072012
716819,34.009316,-118.057906
716829,34.030914,-118.031047
716834,34.053746,-118.004464
716841,34.114761,-117.977832
716847,33.877433,-118.192776
716857,33.924409,-118.177989
